ARTIST,TITLE,YEAR,THEME,SPOTIFY_URL
Bon Iver,Flume,2008,Heartbreak,http://open.spotify.com/track/6WlS5FP9XcB410zta3C67v
Bonnie ‘Prince’ Billy and Matt Sweeney,Bed is For Sleeping,2005,Heartbreak,-
David Bowie,Letter to Hermione,1969,Heartbreak,http://open.spotify.com/track/13YcDQxaOktczzQBliAISJ
David Bowie,Repetition,1979,Heartbreak,http://open.spotify.com/track/6Q4S1KWuAg082DHm6BsazJ
Toni Braxton,He Wasn’t Man Enough ,2000,Heartbreak,http://open.spotify.com/track/2uHlwcSyNpekOl9EybwVaU
Bright Eyes,Lua,2005,Heartbreak,http://open.spotify.com/track/5bGoxCHvVavcFeQnI6NvUz
Buzzcocks,Ever Fallen in Love (With Someone You Shouldn’t’ve),1978,Heartbreak,http://open.spotify.com/track/4JXtIl8MKQT9Q7XkVvWV2I
Johnny Cash,I Still Miss Someone,1959,Heartbreak,http://open.spotify.com/track/17ULcItopPiilP1gIPrJvR
Nick Cave,Far From Me,1997,Heartbreak,http://open.spotify.com/track/6CjDPROOVDYN4v1JuidAJE
Vic Chesnutt,Where Were You,1991,Heartbreak,-
Kelly Clarkson,Since U Been Gone,2004,Heartbreak,http://open.spotify.com/track/07r3phrnaEUfoaauHHQXj6
The Clash,Should I Stay Or Should I Go,1982,Heartbreak,http://open.spotify.com/track/0uwXVXNfzPJtpv3iCBAgDD
Patsy Cline,Crazy,1961,Heartbreak,http://open.spotify.com/track/32EaJ4sUH4GrGfXulPltIi
Leonard Cohen,"So Long, Marianne",1967,Heartbreak,http://open.spotify.com/track/75uA4upcHXXxVfaY9eYdSK
Coldplay,The Scientist,2002,Heartbreak,http://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
Phil Collins,Against All Odds (Take a Look at Me Now),1984,Heartbreak,http://open.spotify.com/track/5b6vClAj7N7VFLXEso3hEY
The Communards,Don’t Leave Me This Way,1986,Heartbreak,http://open.spotify.com/track/6G27JoyRv8Ly085NkPIRWB
Elvis Costello ,Either Side of the Same Town,2004,Heartbreak,http://open.spotify.com/track/1TDyLMqyVcFnN4Gwb2Lk25
Elvis Costello and the Attractions,I Hope You’re Happy Now,1986,Heartbreak,http://open.spotify.com/track/0lJeIRRrwRmnkRWpjai96c
Elvis Costello and the Attractions,I Want You,1986,Heartbreak,http://open.spotify.com/track/4LBnvKaSC9RqnFYA0LDIGt
The Crystals,He Hit Me (And it Felt Like a Kiss),1962,Heartbreak,-
The Cure,Disintegration,1989,Heartbreak,http://open.spotify.com/track/65QOLZaDsPoJp6nDi7Ln4l
Karen Dalton,Katie Cruel,1971,Heartbreak,-
Derek and the Dominos,Layla,1970,Heartbreak,http://open.spotify.com/track/1KDsONFxp3YtnJTaLeWFIi
Duffy ,Warwick Avenue,2008,Heartbreak,http://open.spotify.com/track/5Og47k4AHrotP2QP36p5iO
Bob Dylan,"Don’t Think Twice, It’s All Right",1963,Heartbreak,http://open.spotify.com/track/0K9nDgwZnLpg8FFG732fcU
Bob Dylan,Idiot Wind,1975,Heartbreak,http://open.spotify.com/track/6M4ch4i9qn5uWVrEeMGn9i
Bob Dylan,"If You See Her, Say Hello",1975,Heartbreak,http://open.spotify.com/track/16M0VBfpUnVkUfKknW1gar
Bob Dylan,Just Like a Woman,1966,Heartbreak,http://open.spotify.com/track/6M5KL0LxCvXGr3j2mN4wE1
Bob Dylan,She’s Your Lover Now,1966,Heartbreak,http://open.spotify.com/track/0TUtCqkeaNlR71xerbm6Xo
Bob Dylan,Tangled up in Blue,1975,Heartbreak,http://open.spotify.com/track/3fSmfeHzyp33FHpVKqavaw
Snooks Eaglin,Brown Skin Woman,1962,Heartbreak,http://open.spotify.com/track/2wiwvZFyUOsqGZYlh0tffe
Steve Earle,Goodbye,1996,Heartbreak,-
Echo and the Bunnymen,The Killing Moon,1984,Heartbreak,http://open.spotify.com/track/15049rGLXHwrWtE4euUb5C
Elbow,My Very Best,2006,Heartbreak,-
Everything But the Girl,Missing (Todd Terry remix),1995,Heartbreak,http://open.spotify.com/track/0Y11QzoiLpdhPHAFcSJH9i
Marianne Faithfull,Why’d Ya Do It?,1979,Heartbreak,http://open.spotify.com/track/1XZLci5bjgHM5LC1Xs1cQe
Fleetwood Mac,Go Your Own Way,1977,Heartbreak,http://open.spotify.com/track/5qg6DB7nxilzxxzalcpNU3
Stephen Fretwell,Emily,2004,Heartbreak,http://open.spotify.com/track/3xC8ffyrb46M2xoyiAZijA
Marvin Gaye,I Heard it Through the Grapevine,1967,Heartbreak,http://open.spotify.com/track/27m1soUndRthrAA1ediOXn
Gloria Gaynor,I Will Survive,1978,Heartbreak,http://open.spotify.com/track/1lBbC5ez7W0VgrRGGeybTY
Glasvegas,Daddy’s Gone,2007,Heartbreak,http://open.spotify.com/track/5Xkht48NOI9eirHjY7d87I
Lesley Gore,It’s My Party,1963,Heartbreak,http://open.spotify.com/track/4sR3U7qQAai4CI0q4zHlRW
Al Green,How Can You Mend a Broken Heart ,1972,Heartbreak,-
Halls and Oates,She’s Gone,1973,Heartbreak,-
The Handsome Family,Weightless Again,1998,Heartbreak,-
The House of Love,Christine,1988,Heartbreak,-
The Human League,Don’t You Want Me?,1981,Heartbreak,http://open.spotify.com/track/5lmYpa6EaVAKAlwxMf7q5c
The Jackson 5,I Want You Back,1970,Heartbreak,http://open.spotify.com/track/2nPXRL8SX00vl9zeQHMSQp
Joe Jackson,Is She Really Going Out With Him?,1978,Heartbreak,http://open.spotify.com/track/3P97XnD4osOqR4lRPalNPV
Etta James,I’d Rather Go Blind,1969,Heartbreak,http://open.spotify.com/track/2xxX1FmYQk7P0I5stRyNsT
Skip James,Devil Got My Woman,1931,Heartbreak,http://open.spotify.com/track/0PIFpAuiiowI88mPS6KYsj
Daniel Johnston,Some Things Last a Long Time,1990,Heartbreak,-
Elton John,I Guess That’s Why They Call it the Blues,1983,Heartbreak,http://open.spotify.com/track/4mno8GjYUVPW8rNgJsWLx6
Gloria Jones,Tainted Love,1964,Heartbreak,-
Tom Jones,Delilah,1968,Heartbreak,http://open.spotify.com/track/0hK0cOpYF3cLB49VbMa7AV
Janis Joplin and Big Brother and the Holding Company,Piece of My Heart,1968,Heartbreak,http://open.spotify.com/track/3zfJeCCx1uDHzPNReiGqS6
Joy Division,Love Will Tear Us Apart,1980,Heartbreak,http://open.spotify.com/track/2JO3HwMRPeya8bXbtbyPcf
Kelis,Caught Out There,1999,Heartbreak,http://open.spotify.com/track/6UJbhZER5yrbaAG66rrr4Z
Alicia Keys,You Don’t Know My Name,2003,Heartbreak,http://open.spotify.com/track/212BdBPNXcHSPyKtXMiiFF
The Killers,Mr Brightside,2003,Heartbreak,http://open.spotify.com/track/4ZefAE6wZ6BEATniPk4DWI
BB King,The Thrill is Gone,1969,Heartbreak,http://open.spotify.com/track/2l9eWSE3Tupp0ArEDo45eB
Carole King,It’s Too Late,1971,Heartbreak,http://open.spotify.com/track/5bl6wYKQnPmHYO7DbF1mg7
The Kinks,Lola,1970,Heartbreak,http://open.spotify.com/track/191w1gNvwUI55Pk6PcVvMx
